id,compileResultMsg,CondolenceText
enemy_038,수백 해를 기다린 끝에 새로운 동료를 만났군.,조급한 자는 숲을 이길 수 없다.
enemy_039,전투 데이터 동기화 완료. 함께라면 어떤 전장도 돌파할 수 있어.,목표 제압 완료. 다음 임무로 이동합니다.
enemy_040,하하! 추위쯤은 아무것도 아니다. 앞장서겠다!,겨우 이 정도로 얼어붙은 거냐?
enemy_041,검투사는 승리로 말한다. 영광은 우리의 것이다.,"승자는 살아남고, 패자는 쓰러진다. 그것이 경기장의 법이다."
enemy_042,내 다리와 창은 전장을 달리기 위해 존재한다.,나를 따라잡으려면 아직 멀었다.
enemy_043,강물은 깊고 조용하지. 하지만 방심한 자는 결코 돌아오지 못한다.,깊은 물은 항상 방심한 자를 삼키는 법이지.
enemy_044,내 노래를 두려워하지 마. 오늘은 적들만 울게 될 테니까.,내 노래가... 당신의 마지막 자장가가 되었네요.
enemy_045,신들의 뜻이 우리를 이어 주었군요. 함께 미래를 열어 봅시다.,신탁은 이미 이 결과를 예언하고 있었습니다.
enemy_046,눈을 마주칠 용기가 있다면 어디 한번 해봐라.,"눈을 마주친 순간, 승패는 이미 정해져 있었다."
enemy_047,좋아! 이번 항해는 꽤 흥미로울 것 같네. 보물도 승리도 전부 가져가자!,하하! 이런 실력으로 바다에 나왔다간 하루도 못 버텨!
enemy_048,전장은 익숙하다. 믿을 만한 동료라면 끝까지 함께하지.,패배를 부끄러워하지 마라. 다시 일어설 수 있다면 말이지.
enemy_049,빛의 축복이 당신의 여정에 늘 함께하길.,"빛은 누구에게나 비추지만, 승리는 모두에게 허락되지 않아요."
enemy_050,숲은 거짓말을 하지 않아. 내 발걸음을 따라온다면 길을 잃지 않을 거야.,숲을 얕본 대가야. 다음에는 내 유혹에 넘어오지 않길 바라.
enemy_051,빛의 숲에서 찾아왔다. 네 검이 올바른 길을 향하도록 돕겠다.,"빛은 약한 자를 비추지만, 승리까지 선물해 주지는 않는다."
enemy_052,숲의 수호자는 약속을 저버리지 않는다. 등을 맡겨라.,숲의 법칙은 단순하다. 살아남는 자만이 다음 해를 맞는다.
enemy_053,명령을 수락했다. 지금부터 너를 주인으로 인식한다.,명령 수행 완료. 적의 저항은 종료되었습니다.
enemy_054,수많은 다리로 적을 짓밟아 주마. 도망칠 곳은 없다.,발버둥 쳐도 소용없다. 결국 내 먹이가 될 뿐.
enemy_055,그림자 속에서 임무를 완수하겠습니다. 제 존재조차 눈치채지 못할 겁니다.,"그림자에 베인 자는, 자신이 죽은 것도 모르는 법입니다."
enemy_056,"크르륵... 한입에 삼켜 버릴까? 아니, 지금은 네 편이지.",크르륵... 생각보다 싱거운 사냥이었군.
enemy_057,과녁은 이미 보였다. 빗나가는 화살은 없다.,과녁을 빗나간 적은 없었다. 이번도 마찬가지다.
enemy_058,용의 피는 쉽게 꺾이지 않는다. 함께 하늘을 향해 나아가자.,용의 피를 얕본 것이 패인이었다.
enemy_059,적이 눈을 감는 순간까지... 내 존재는 그림자다.,네가 내 존재를 알아챘을 때는 이미 늦었다.
enemy_060,"바람처럼 스며들고, 번개처럼 끝낸다. 그게 후우마의 방식이다.","바람을 붙잡을 수는 없듯, 나도 붙잡을 수 없었다."
enemy_061,미궁은 내 집이다. 그 안에서는 누구도 나를 이길 수 없다.,"미궁에 들어온 이상, 살아 돌아갈 수는 없었다."
enemy_062,힘이 필요하다면 나를 앞세워라. 길은 내가 뚫겠다.,힘이 전부는 아니지만... 오늘만큼은 충분했군.
enemy_063,실은 보이지 않아도 모든 것은 내 손안에서 움직입니다.,"실을 끊은 순간, 당신의 운명도 함께 끊어졌어요."
enemy_064,세 개의 머리로 맹세한다. 누구도 네게 손대지 못하게 하겠다.,세 개의 머리 모두 같은 결론이다. 네 패배다.
enemy_065,하늘과 대지를 모두 지배하는 힘을 보여 주겠다.,하늘을 올려다볼 시간은 있었나?
enemy_066,내 몸에 깃든 모든 맹수가 너를 위해 포효한다.,"사자의 힘, 염소의 광기, 뱀의 독... 어느 하나도 견디지 못했군."
enemy_067,"오나라의 이름에 부끄럽지 않게, 함께 승리를 거두겠습니다.",승부는 이미 갈렸습니다. 다음에는 더 강한 모습으로 오세요.
enemy_068,독침과 송곳니... 어느 쪽으로 죽고 싶은지는 적들이 결정할 일이다.,독침 하나면 충분했다. 허무한 최후군.
enemy_069,밤이 깊을수록 내 힘은 강해진다. 피를 두려워하지 마라.,밤은 내 세상이다. 해가 뜰 때까지 넌 일어나지 못할 거다.
enemy_070,바다는 잔잔해 보여도 언제든 이빨을 드러낼 수 있어.,바다는 욕심 많은 자를 결코 돌려보내지 않는답니다.
enemy_071,후후... 두려워하지 마. 적에게만 송곳니를 드러낼 테니까.,후후... 끝까지 저항하는 모습도 제법 귀여웠어요.
enemy_072,"여덟 다리의 질주는 누구도 따라잡지 못한다. 자, 출발하자.",내 질주를 따라잡을 자는 아직 없군.
enemy_073,깊은 바다는 내 영토다. 거대한 파도로 적을 집어삼키겠다.,깊은 바다로 끌려온 기분이 어땠나?
enemy_074,영원한 밤은 길고도 아름답지. 너와의 계약도 그만큼 오래 이어질 것이다.,좋은 피였다. 다음에는 조금 더 오래 즐기게 해다오.
enemy_075,"내 목은 잃었지만, 명예는 잃지 않았다. 네 적을 끝까지 추격하겠다.",네 목숨은 오늘까지다. 다음에는 더 오래 버텨 보아라.
enemy_076,"창을 드는 법도, 승리하는 법도 가르쳐 주지. 실망시키지 마라.",패배 또한 배움의 일부다. 다시 검을 들고 나를 찾아와라.
enemy_077,하하하! 부술 것이 있다면 언제든 나를 불러라!,"하하하! 이 정도로 끝나다니, 김도 안 새는군!"
enemy_078,마음을 다스리는 자만이 진정한 강자입니다. 함께 깨달음에 이르러 봅시다.,쓰러진 것은 몸뿐입니다. 마음까지 꺾인다면 진정한 패배이지요.
enemy_079,"용의 긍지와 기사의 맹세를 걸고, 너와 함께 싸우겠다.",용기 없는 자는 용의 등을 탈 자격도 없다.
enemy_080,노래는 검보다 오래 살아남습니다. 나의 시가 우리의 승리를 전하겠지요.,오늘의 패배도 언젠가 하나의 노래가 되겠지요.
enemy_081,수천 년의 잠에서 깨어났다. 이번에는 네 곁을 지키겠다.,"영겁의 시간 앞에서, 너의 삶은 너무도 짧았다."
enemy_082,운명의 실은 이미 얽혀 있다. 나는 그 끝을 읽어 줄 뿐.,운명의 실은 처음부터 이 결말을 가리키고 있었다.
enemy_083,빛이 강할수록 그림자도 짙어진다. 그 어둠은 내 무기다.,그림자는 언제나 빛보다 먼저 네 등을 덮는다.
enemy_084,내 눈을 두려워할 필요는 없어. 오늘은 적들만 돌이 될 테니까.,후후... 끝내 돌처럼 움직이지 못하게 되었군.
enemy_085,신탁은 우리에게 미소 짓고 있습니다. 운명을 함께 개척해 봅시다.,신탁은 거짓을 말하지 않습니다. 당신은 아직 때가 아니었어요.
enemy_086,소원을 이루어 달라고? 후후... 우선 적부터 처리하지.,소원 하나는 들어주지. 다음에는 조금 더 강해져 와라.
enemy_087,전쟁은 나의 무대다. 승리를 위해 망설임은 없다.,전쟁은 승자만을 기억한다. 오늘의 이름은 내 것이다.
enemy_088,불꽃은 생명을 품고 희망을 밝힙니다. 함께 앞으로 나아가요.,"불꽃은 꺼졌지만, 다시 피어날 수 있습니다. 다음에는 더 강해지세요."
enemy_089,"모든 것을 태우는 불꽃이라도, 동료는 태우지 않는다.",잿더미가 된 기분은 어떤가?
enemy_090,지혜와 마법은 힘을 올바른 곳으로 이끌기 위한 것입니다.,지혜 없는 힘은 결국 이런 결말을 맞이하는 법입니다.
enemy_091,심연의 불길이 다시 타오른다. 감당할 준비는 되었겠지.,심연의 불길을 견딜 수 있는 필멸자는 없었다.
enemy_092,마법은 선도 악도 아니에요. 사용하는 자가 그 의미를 결정하는 법.,"마법을 두려워한 순간, 이미 승부는 끝났어요."
enemy_093,"흥미로운 계약이군. 어디, 끝까지 즐겨 보자.",실망스럽군. 네 절망을 조금 더 오래 즐기고 싶었는데.
enemy_094,마법도 변신도 모두 내 손끝에 달려 있어요. 기대해도 좋아요.,후후... 조금만 더 가지고 놀 수 있었는데 아쉽네요.
enemy_095,긴 밤은 이제 시작이다. 나와 함께 영원한 어둠을 걸어가자.,영원한 밤에 온 것을 환영한다. 이제 태양은 다시 보지 못하겠군.
enemy_096,천둥은 나의 목소리다. 감히 맞서는 자에게 심판을 내리겠다.,천둥은 심판을 알릴 뿐이다. 거스를 수는 없다.
enemy_097,"갈림길에서 길을 잃었다면, 내 등불이 너를 인도하겠습니다.",갈림길에서 잘못된 선택을 했군요. 하지만 다음 길은 아직 남아 있습니다.
enemy_098,심해의 왕이 네 부름에 응했다. 모든 것을 삼키는 파도를 보여 주마.,깊은 바다는 모든 것을 삼킨다. 너 역시 예외는 아니다.
enemy_099,"대지를 뒤흔드는 힘을 원한다면, 나를 앞세워라.",대지를 흔드는 내 발걸음을 막기에는 아직 역부족이었다.
enemy_100,창공의 끝에서 네 부름을 들었다. 하늘은 이제 우리의 것이다.,"하늘을 나는 자를 넘어설 날이 오면, 다시 내게 도전해라."
enemy_101,"후후... 드디어 만났네. 내 힘을 원한다면, 끝까지 날 믿어 봐.",후후... 절망도 달콤하지 않나요? 하지만 아직 끝은 아니에요.
enemy_102,성배의 기사조차 굴복시킨 마법이다. 너는 그 힘을 어떻게 사용할지 보여 다오.,욕망에 흔들리는 자는 결코 성배에 닿을 수 없다.
enemy_103,벗을 위해 싸우는 것은 내 숙명이다. 오늘부터는 네 곁을 지키겠다.,오늘은 내가 더 강했을 뿐이다. 다시 일어나 함께 성장해라.
enemy_104,"세상의 무게를 짊어진 이 어깨라면, 어떤 시련도 견뎌낼 수 있다.","세상의 무게를 견디려면, 그 정도 의지로는 부족하다."
enemy_105,"세계를 휘감을 만큼 거대한 몸이라도, 네 의지에는 기꺼이 따르겠다.","세계를 휘감는 뱀 앞에서, 인간은 너무도 작은 존재다."
enemy_106,창을 들고 물러서는 법은 없다. 승리는 싸울 자의 것이다!,훌륭한 싸움이었다. 다음에는 창끝을 더 날카롭게 갈고 와라!
enemy_107,수많은 전장을 지나 얻은 지혜와 힘을 너와 나누겠다.,힘은 경험으로 완성된다. 오늘의 패배를 잊지 마라.
enemy_108,용족의 긍지는 결코 꺾이지 않는다. 하늘을 뒤덮을 힘을 보여 주마.,용의 앞에 무릎 꿇는 것은 치욕이 아니다. 살아남아 다시 도전하는 것이 진정한 용기다.
enemy_109,정의로운 검은 결코 녹슬지 않는다. 함께 영광을 향해 나아가자.,명예는 승자만의 것이 아니다. 다시 검을 들 용기를 잃지 마라.
enemy_110,왕의 맹세를 걸고 선언한다. 이제부터 그대는 나의 동맹이다.,왕도 수없이 패배를 경험하며 성장한다. 그대의 여정도 여기서 끝나지 않을 것이다.
enemy_111,용맹한 영혼을 인도하는 것이 나의 사명. 오늘은 그대의 승리를 위해 창을 들겠다.,오늘은 내가 승자를 맞이하러 왔습니다. 언젠가는 당신을 영웅으로 맞이할 날도 오겠지요.
enemy_112,용을 쓰러뜨린 영웅의 이름에 부끄럽지 않게 싸우겠다.,용을 쓰러뜨리는 자도 처음부터 영웅은 아니었다. 다시 일어나라.
enemy_113,"사랑과 전쟁은 모두 삶의 일부랍니다. 자, 함께 우리의 운명을 만들어 가요.",패배를 슬퍼하지 마세요. 모든 꽃은 다시 피어날 계절을 기다린답니다.
enemy_114,창조와 파괴는 하나의 순환입니다. 그 뜻을 함께 이루어 봅시다.,파괴는 끝이 아니라 새로운 시작입니다. 그대도 다시 태어나 더 강해질 것입니다.
enemy_115,"하하하! 하늘도 내 앞을 막지 못했는데, 이번 모험도 재미있겠군! 어디 한번 신나게 날뛰어 보자!",하하하! 재미있는 싸움이었다! 다음엔 이 정도로 끝내지 말고 마지막까지 날 즐겁게 해 봐!
